dcSubjectLangAware.en,dctermsSpatial,edmTimespanLabelLangAware.en,edmConceptPrefLabelLangAware.en,year,type,title,provider,dataProvider,country,completeness
"['World War I', 'Remembrance', 'Trench Life']","['europeana19141918:place/ae8c27b59a987de970408973491e4ab7', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"[""FRAD087_114. Histoire d'Eugène Coffinet"", 'Documents about Eugène Coffinet']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Trench Life']",['Western Front'],['21st century'],['World War I'],,TEXT,"['FRBMBO-046 Histoire de Maurice Bellegarde', ""Maurice Bellegarde's story""]",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['europeana19141918:place/064b36f083818d1992f57a8726340186', 'Balkans', 'Naval Warfare', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['FRAD043_039 Jules VINCENT', ""Jules Vincent's story in WWI""]",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Medical', 'Remembrance']","['front occidental', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1934']",TEXT,"[""FRAD034-141_Louis BESSIERE, les séquelles d'un blessé de guerre"", 'Documents from Louis Bessière, a suffering life']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Home Front', 'Remembrance', 'Trench Life', 'Women']","['europeana19141918:place/0fffaf0318de6fc5f40cad49df012796', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['FRAD087_003. Jean Sedon, simple soldat d\'infanterie mais valeureux ""poilu"" .', 'Soldier Jean Sedon']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Trench Life']",['Western Front'],"['21st century', '20th century']",['World War I'],"['1943', '1913']",TEXT,"['FRAM - Faits de guerre de Justin RAYMOND', 'Documents from Justin RAYMOND']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Trench Life']","['europeana19141918:place/3da15fdfc6b52c100fabd32be6445658', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['BUNOD Jean téléphoniste au 408ème RI (suite)', 'Letters and Postcards from Jean Bunond Telephonist for the 408th RI']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Home Front', 'Recruitment and Conscription', 'Women']","['europeana19141918:place/54574e437130059b51d1e397e25b0d20', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['FRAD087_103. Jean Barbe, ou quatre mois pour mourir glorieusement.', 'Correspondance']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/6f34f29f3e73a297f7e8f5ec7887d5ed', 'Western Front']","['21st century', '20th century']",['World War I'],['1914'],TEXT,"['FRAD006_01NUM_0136 Histoire d’Emile Reynaud-Paligot', 'Fonds Michel Reynaud-Paligot']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['europeana19141918:place/442ef3dda485bfe40c676d1bd71b0e9c', 'Balkans']","['21st century', '20th century']",['World War I'],"['1918', '1919']",TEXT,"['Ferdinand I medal', 'Eugen Crâznic recieves the Ferdinand Medal']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
